id,category,manufacturer,model,key_specs,qty,condition,location,assigned_build,for_phase,notes
gpu-gtx770-oc,GPU,Gigabyte,GV-N770OC-4GD,GTX 770 4GB OC Rev 2.0,1,installed,htpc,HTPC,current,Suspected in Antec Fusion HTPC — verify when opened (was thought loose in bin)
gpu-gtx1660s-gigabyte,GPU,Gigabyte,GV-N166SGAMING-6GD,GTX 1660 SUPER GAMING 6GB,1,installed,claudia-pc,CLAUDIA-PC,current,Installed; HDMI + DP→HDMI dual Acer; S/N SN202841023388
cpu-fx8350,CPU,AMD,FX-8350,8C/8T 4GHz AM3+,1,installed,christian-pc,CHRISTIAN-PC,current,Confirmed; Vishera
mb-msi-990fxa-gaming,MB,MSI,990FXA-GAMING,ATX AM3+/AM3 990FX,1,installed,christian-pc,CHRISTIAN-PC,current,Confirmed
case-corsair-c70,CASE,Corsair,C70 Military Green,CC-9011018-WW Vengeance mid tower,1,installed,christian-pc,CHRISTIAN-PC,current,Confirmed current chassis; same C70 family as old PCPP
psu-evga-1000g1,PSU,EVGA,SuperNOVA 1000 G1,1000W 80+ Gold fully modular ATX,1,installed,christian-pc,CHRISTIAN-PC,current,Confirmed
ram-cmy16gx3m2a1866c9r,RAM,Corsair,CMY16GX3M2A1866C9R,Vengeance Pro DDR3-1866 2x8GB CL9 red,2,spare,bin,,,Pulled from CHRISTIAN-PC C70 2026-09-12; 2 kits = 4×8GB (32GB); photo: 2× ver8.22 + 2× ver3.24
fan-cougar-cf-v12h,FAN,COUGAR,CF-V12H,120mm HDB Vortex 3-pin,2,installed,christian-pc,CHRISTIAN-PC,current,3-pin; in retired C70 box
cooler-h100i-christian,COOLER,Corsair,H100i,240mm AIO,1,installed,christian-pc,CHRISTIAN-PC,current,Retired C70; separate from TOMB-PC H100i
ssd-sandisk-sdssdx-240,STORAGE,SanDisk,SDSSDX-240G,240GB 2.5 SATA SSD,1,planned,knight,Knight,planned,Pulled from CHRISTIAN-PC; **Knight appdata/system pool** (separate from Kioxia LLM pool)
hdd-wd-green-500-christian,STORAGE,Western Digital,WD Green 500GB,500GB 3.5 HDD,1,installed,christian-pc,CHRISTIAN-PC,current,Retired C70; exact WD Green SKU TBD
gpu-rx6800-amd-desktop-aitbp8b,GPU,AMD,Radeon RX 6800,16GB GDDR6 Navi 21,1,installed,desktop-aitbp8b,DESKTOP-AITBP8B,current,Christian daily driver; board partner TBD — not Gigabyte on TOMB-PC-2077
mb-ga-z87x-ud4h,MB,Gigabyte,GA-Z87X-UD4H,ATX LGA1150 Z87,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop; unused in corner
cpu-4770k,CPU,Intel,Core i7-4770K,4C/8T 3.5GHz LGA1150,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop; unused in corner
cooler-h100i-tomb,COOLER,Corsair,H100i,240mm AIO,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop
ram-veng-pro-ddr3-tomb,RAM,Corsair,Vengeance Pro DDR3-1866,16GB 2x8 CL9,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop
ssd-samsung-840pro-256,STORAGE,Samsung,840 Pro,256GB 2.5 SATA SSD,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop
ssd-sandisk-extreme2-480,STORAGE,SanDisk,Extreme II,480GB 2.5 SATA SSD,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop
gpu-gtx970-ixoc,GPU,Gigabyte,GV-N970IXOC-4GD,GTX 970 4GB Mini-ITX OC,1,installed,tomb-pc,TOMB-PC,current,Different SKU from WF3OC spare in bin
case-nzxt-phantom-410,CASE,NZXT,Phantom 410 Red,CA-PH410-R1 ATX mid tower,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop; unused in corner
psu-antec-hcg-900,PSU,Antec,High Current Gamer 900W,900W 80+ Bronze ATX,1,installed,tomb-pc,TOMB-PC,current,Old Tom desktop
case-meshify-c-white,CASE,Fractal Design,Meshify C White TG,FD-CA-MESH-C-WT-TGC ATX mid tower,1,installed,tomb-pc-2077,TOMB-PC-2077,current,Desktop daily driver chassis
psu-superflower-leadex3-750,PSU,Super Flower,Leadex III Gold 750W,750W 80+ Gold fully modular ATX,1,installed,tomb-pc-2077,TOMB-PC-2077,current,Desktop daily driver
nvme-crucial-p5p-c,STORAGE,Crucial,CT2000P5PSSD8,P5 Plus 2TB NVMe PCIe4,1,installed,tomb-pc-2077,TOMB-PC-2077,current,Boot C:; S/N 23023DA6002D; health ~98%
nvme-crucial-p5p-d,STORAGE,Crucial,CT2000P5PSSD8,P5 Plus 2TB NVMe PCIe4,1,installed,tomb-pc-2077,TOMB-PC-2077,current,Data D:; S/N 23023DA60079; health ~99%
mb-msi-b350-tomahawk-arctic,MB,MSI,B350 TOMAHAWK ARCTIC,ATX AM4,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
cpu-1700x,CPU,AMD,Ryzen 7 1700X,8C/16T 3.4GHz AM4,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
cooler-gammaxx-400-white,COOLER,Deepcool,GAMMAXX 400 White,Air cooler,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
ram-ballistix-2666-claudia,RAM,Crucial,Ballistix Sport LT DDR4-2666,16GB 2x8 CL16,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
nvme-wd-black-500-claudia,STORAGE,Western Digital,Black NVMe 500GB,M.2 2280 PCIe3 x4,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
gpu-gtx1060-asus-dual-3g,GPU,Asus,DUAL GTX 1060 3GB,3GB GDDR5,1,spare,bin,,,Was LimeTower transcoder candidate; superseded by ASUS 1660 SUPER from CHRISTIAN-PC
gpu-gtx1660s-asus-limetower,GPU,ASUS,DUAL-GTX1660S-O6G-EVO,GTX 1660 SUPER 6GB,1,installed,zhenloong,LimeTower,current,From CHRISTIAN-PC; Unraid NVENC; S/N KAC0YZ01X5396JN; Slot4 (CPU2 x16)
hba-9305-16i,HBA,Broadcom/LSI,9305-16i,SAS3 IT-mode 16-port PCIe x8 SFF-8643,1,installed,zhenloong,LimeTower,current,S/N SP01015106; Slot1; array currently on onboard SATA; HBA ready for expansion
cable-dp-hdmi-claudia,OTHER,Best Buy,DP-to-HDMI,DisplayPort to HDMI for dual Acer,1,installed,claudia-pc,CLAUDIA-PC,current,2nd monitor path (GPU DP → Acer HDMI)
case-zalman-z9-neo,CASE,Zalman,Z9 NEO,ATX mid tower,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
psu-thermaltake-tr2s-550,PSU,Thermaltake,TR2 S 550W,550W 80+ ATX,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
odd-lg-gh24nsc0b,OTHER,LG,GH24NSC0B,DVD/CD writer,1,installed,claudia-pc,CLAUDIA-PC,current,Per PCPP
monitor-acer-ed242qr-1,MONITOR,Acer,ED242QR wi,23.6in 1080p 75Hz FreeSync curved,1,installed,claudia-pc,CLAUDIA-PC,current,Current dual setup (HDMI+VGA)
monitor-acer-ed242qr-2,MONITOR,Acer,ED242QR wi,23.6in 1080p 75Hz FreeSync curved,1,installed,claudia-pc,CLAUDIA-PC,current,Second of dual pair
printer-canon-lbp646cdw,OTHER,Canon,imageCLASS LBP646Cdw,Wireless color laser print-only 6929C008,1,spare,bin,,,Home office color laser
switch-netgear-gs316pp,NIC,NETGEAR,GS316PP,16× 1GbE (10/100/1000) PoE+ rackmount GS316PP100NAS 183W,1,spare,bin,,,Waiting to be used
amp-monoprice-16152,OTHER,Monoprice,Compact Stereo Hybrid Tube Amp,15W/ch Bluetooth 4.0 aptX P/N 16152,1,spare,bin,,,Tube pre + class AB; waiting to be used
nic-supermicro-aoc-stg-i2t,NIC,Supermicro,AOC-STG-i2T,2× 10GBase-T RJ45 PCIe Intel X540,1,spare,bin,,,Dual 10GbE; not needed on LimeTower (X10DRi-T has onboard dual 10G) or Knight T4+ (quad 10G) — sell or hold
ssd-corsair-force-le200-240,STORAGE,Corsair,CSSD-F240GBLE200B,Force LE 200 240GB 2.5 SATA3 SSD,1,spare,bin,,,Found in bin 2026-09-13; S/N 1703793900012260015E; RST0054
